date,hour,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
2019-01-01,1,19,35,62,90,66,NA,NA,NA,56,22,69,101,102,NA,133,NA,NA,92,33,NA,55,74,99,96
2019-01-01,2,17,24,88,104,84,NA,NA,NA,61,14,95,103,108,NA,164,NA,NA,100,40,NA,52,115,99,164
2019-01-01,3,14,20,107,140,95,NA,NA,NA,74,8,82,125,125,NA,206,NA,NA,104,52,NA,59,150,109,249
2019-01-01,4,6,15,101,162,97,NA,NA,NA,90,9,110,150,92,NA,273,NA,NA,144,25,NA,58,180,112,200
2019-01-01,5,4,8,121,133,88,NA,NA,NA,90,3,165,152,84,NA,291,NA,NA,171,21,NA,46,167,164,161
2019-01-01,6,7,7,93,106,77,NA,NA,NA,106,3,161,141,122,NA,387,NA,NA,138,15,NA,51,165,168,186
2019-01-01,7,12,8,84,98,51,NA,NA,NA,115,NA,153,115,97,NA,393,NA,NA,125,10,NA,47,158,167,179
2019-01-01,8,15,7,101,82,39,NA,NA,NA,90,NA,139,93,73,NA,291,NA,NA,134,14,NA,29,159,156,152
2019-01-01,9,24,3,89,54,26,NA,NA,NA,90,NA,112,94,58,NA,264,NA,NA,135,13,NA,47,142,139,156
2019-01-01,10,24,NA,88,76,26,NA,NA,NA,99,2,145,82,94,NA,182,NA,NA,177,45,NA,104,125,142,160
2019-01-01,11,49,NA,102,77,66,NA,NA,NA,90,10,111,50,85,NA,139,NA,NA,120,52,NA,151,93,130,147
2019-01-01,12,52,9,105,77,88,NA,NA,NA,73,11,86,38,63,NA,81,NA,NA,84,45,NA,60,89,98,88
2019-01-01,13,75,27,84,45,96,NA,NA,NA,78,13,56,60,35,NA,41,NA,NA,49,41,NA,53,80,45,55
2019-01-01,14,76,17,85,NA,45,NA,NA,NA,56,13,42,78,24,NA,40,NA,NA,38,41,NA,45,77,59,40
2019-01-01,15,46,16,63,37,37,NA,NA,NA,45,7,52,60,21,NA,25,NA,NA,36,35,NA,38,57,55,36
2019-01-01,16,34,19,40,58,47,NA,NA,NA,36,7,42,47,15,NA,19,NA,NA,33,53,NA,29,39,34,36
2019-01-01,17,19,13,31,54,32,NA,NA,NA,28,10,16,33,14,NA,14,NA,NA,22,60,NA,34,19,15,28
2019-01-01,18,10,18,16,19,13,NA,NA,NA,14,8,20,18,15,NA,21,NA,NA,18,42,NA,26,11,16,24
2019-01-01,19,13,21,11,13,17,NA,NA,NA,23,14,22,18,21,NA,12,NA,NA,42,35,NA,14,19,34,15
2019-01-01,20,6,24,8,18,13,NA,NA,NA,20,20,40,24,29,NA,15,NA,NA,45,35,NA,17,19,16,25
2019-01-01,21,8,11,25,26,20,NA,NA,NA,17,17,30,29,19,NA,25,NA,NA,40,25,NA,25,32,23,40
2019-01-01,22,27,10,34,27,17,NA,NA,NA,29,17,23,34,31,NA,31,NA,NA,30,25,NA,31,37,32,53
2019-01-01,23,23,8,33,26,22,NA,NA,NA,30,22,37,29,56,NA,37,NA,NA,14,28,NA,27,37,41,38
2019-01-01,24,23,10,25,32,20,NA,NA,NA,30,21,34,30,53,NA,118,NA,NA,40,28,NA,21,30,41,39
2019-01-02,1,21,4,24,32,19,NA,NA,NA,25,18,52,29,31,NA,71,NA,NA,24,27,NA,26,28,36,33
2019-01-02,2,19,5,40,28,28,NA,NA,NA,26,14,61,32,29,NA,40,NA,NA,26,23,NA,26,44,34,38
2019-01-02,3,17,8,33,29,25,NA,NA,NA,34,6,42,33,25,NA,42,NA,NA,41,11,NA,28,43,39,34
2019-01-02,4,20,7,32,33,24,NA,NA,NA,41,10,36,30,30,NA,36,NA,NA,48,5,NA,28,31,49,45
2019-01-02,5,25,10,40,38,21,NA,NA,NA,35,6,44,34,21,NA,45,NA,NA,70,8,NA,27,39,44,46
2019-01-02,6,19,12,39,42,22,NA,NA,NA,35,4,33,32,24,NA,59,NA,NA,68,12,NA,39,43,42,46
2019-01-02,7,21,8,37,51,31,NA,NA,NA,30,8,56,42,22,NA,52,NA,NA,64,15,NA,31,32,30,43
2019-01-02,8,23,3,38,60,30,NA,NA,NA,36,9,60,50,28,NA,62,NA,NA,86,9,NA,27,35,31,47
2019-01-02,9,27,6,55,60,24,NA,NA,NA,59,4,90,52,28,NA,78,NA,NA,97,14,NA,54,34,66,78
2019-01-02,10,39,1,99,81,56,NA,NA,NA,87,5,112,78,33,NA,92,NA,NA,98,28,NA,80,50,73,116
2019-01-02,11,42,2,95,102,72,NA,NA,NA,80,2,113,103,44,NA,103,NA,NA,84,68,NA,80,37,92,116
2019-01-02,12,41,10,85,88,56,NA,NA,NA,69,5,71,72,27,NA,68,NA,NA,91,73,NA,65,43,72,59
2019-01-02,13,45,21,66,119,34,NA,NA,NA,45,7,39,52,1,NA,55,NA,NA,44,57,NA,33,57,69,43
2019-01-02,14,44,13,49,75,38,NA,NA,NA,60,4,50,54,NA,NA,18,NA,NA,37,63,NA,26,52,43,36
2019-01-02,15,48,14,53,41,31,NA,NA,NA,54,4,46,49,2,NA,NA,NA,NA,19,63,NA,34,46,24,30
2019-01-02,16,40,4,49,47,30,NA,NA,NA,35,7,40,45,22,NA,7,NA,NA,8,57,NA,40,29,13,17
2019-01-02,17,34,8,14,21,6,NA,NA,NA,20,3,18,37,25,NA,7,NA,NA,16,46,NA,36,NA,20,16
2019-01-02,18,28,9,14,8,4,NA,NA,NA,17,5,20,31,33,NA,12,NA,NA,14,11,NA,27,7,NA,20
2019-01-02,19,23,21,9,16,10,NA,NA,NA,14,8,8,17,18,NA,15,NA,NA,13,18,NA,27,7,NA,25
2019-01-02,20,13,15,14,18,24,NA,NA,NA,10,9,25,9,31,NA,21,NA,NA,26,13,NA,28,15,21,30
2019-01-02,21,7,9,18,37,23,NA,NA,NA,18,NA,25,9,13,NA,26,NA,NA,26,13,NA,23,15,19,46
2019-01-02,22,3,9,15,37,15,NA,NA,NA,23,NA,37,9,6,NA,33,NA,NA,32,1,NA,27,21,20,32
2019-01-02,23,7,2,21,40,12,NA,NA,NA,15,NA,34,4,17,NA,19,NA,NA,31,9,NA,21,44,21,25
2019-01-02,24,11,NA,22,19,11,NA,NA,NA,20,NA,25,12,22,NA,28,NA,NA,42,6,NA,19,25,26,35
2019-01-03,1,8,1,12,14,12,NA,NA,34,19,NA,33,16,12,NA,31,NA,NA,40,5,NA,18,27,17,46
2019-01-03,2,19,4,14,13,11,NA,NA,31,15,NA,40,17,7,NA,35,NA,NA,44,12,NA,33,27,26,51
2019-01-03,3,29,3,11,12,15,NA,NA,35,16,NA,23,12,13,NA,30,NA,NA,44,16,NA,35,37,29,54
2019-01-03,4,28,6,22,17,18,NA,NA,40,19,NA,17,18,18,NA,32,NA,NA,30,27,NA,13,29,29,54
2019-01-03,5,26,3,18,24,18,NA,NA,41,17,2,29,21,14,NA,34,NA,NA,33,17,NA,14,17,24,62
2019-01-03,6,23,7,18,24,17,NA,NA,41,14,4,21,24,21,NA,37,NA,NA,21,13,NA,17,17,23,52
2019-01-03,7,20,4,20,30,16,NA,NA,29,15,5,32,26,28,NA,36,NA,NA,39,17,NA,18,26,21,61
2019-01-03,8,16,7,18,50,22,NA,NA,35,14,4,44,34,28,NA,34,NA,NA,18,17,NA,23,26,25,50
2019-01-03,9,22,10,21,48,23,NA,NA,46,25,5,40,29,31,NA,40,NA,NA,51,12,NA,48,28,31,62
2019-01-03,10,28,10,28,47,23,NA,NA,47,30,5,44,30,42,NA,31,NA,NA,55,18,NA,42,22,47,60
2019-01-03,11,27,3,29,52,20,NA,NA,39,33,3,55,36,43,NA,24,NA,NA,35,26,NA,57,14,33,58
2019-01-03,12,35,14,32,61,24,NA,NA,41,32,8,45,30,39,NA,40,NA,NA,46,21,NA,60,6,32,47
2019-01-03,13,37,17,29,41,22,NA,NA,37,NA,15,54,26,28,NA,41,NA,NA,35,24,NA,49,14,46,31
2019-01-03,14,32,30,54,24,23,NA,NA,28,NA,10,42,49,9,NA,25,NA,NA,26,43,NA,57,32,41,41
2019-01-03,15,31,44,55,38,25,NA,NA,21,NA,11,25,53,1,NA,14,NA,NA,19,44,NA,53,26,15,NA
2019-01-03,16,19,28,45,35,26,NA,NA,23,NA,7,26,48,5,NA,9,NA,NA,28,49,NA,39,11,10,NA
2019-01-03,17,28,19,27,NA,17,NA,NA,24,NA,14,15,44,44,NA,17,NA,NA,36,43,NA,37,11,15,NA
2019-01-03,18,32,31,26,25,16,NA,NA,33,19,17,20,40,19,NA,23,NA,NA,39,29,NA,39,19,8,45
